title,imdbRating,ratingCount,duration,nrOfWins,nrOfNominations,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Shogun: Total War (Video Game 2000),7.8,144,,1,1,0,2,3
Spike Lee's '25th Hour': The Evolution of an American Filmmaker (Video 2003),6,116,1320,0,0,0,3,2
Kiss Kiss Bang Bang (2005),7.7,143667,6180,4,12,913,323,3
Die Glocken von St. Marien (1945),7.5,4430,5280,3,7,3,45,2
Die Dolmetscherin (2005),6.4,76484,7680,4,1,170,406,2
Kontroll (2003),7.7,16361,6660,18,3,89,127,3
Strings (2004),7,3129,5280,3,3,0,21,3
Wächter über Himmel und Erde (2003),6.4,3487,7200,7,9,0,32,3
Infernal Affairs 3 (2003),7,7576,7080,2,8,5,26,3
Verliebt in eine Hexe (2005),4.8,50944,6120,1,6,159,475,3
Frühling\, Winter... und Frühling (2003),fr hling sommer herbst winter und fr hling,http://www.imdb.com/title/tt0374546/,6180,2003,12,7,8
Footpath (2003),5.3,362,,1,0,0,4,0
Tatort Springfield (1945),7.1,1485,5160,0,0,0,34,3
Napoleon Dynamite (2004),6.9,131096,4920,10,18,558,1430,1
Strandvaskaren (2004),4.6,1525,6000,0,0,0,9,2
White Noise - Schreie aus dem Jenseits (2005),5.5,36728,6060,1,2,148,404,3
L.A. Crash (2004),7.9,307104,6720,52,74,666,1592,1
Hollywood and the Muslim World (TV Movie 2003),7,7,3060,0,0,0,0,1
Detour (1945),7.5,7849,4020,1,0,38,141,3
Die Rückkehr (2003),8.1,24462,6300,27,12,32,159,3
Der Flug des Phoenix (2004),6.1,40422,6780,0,0,103,214,3
Der Duft von Lavendel (2004),7.1,6940,6240,0,0,7,107,3
Mean Creek (2004),7.3,22436,5400,4,4,153,147,2
Girls Club - Vorsicht bissig! (2004),6.9,167949,5820,7,16,4560,515,1
Ring 2 (2005),5.3,55945,6600,2,6,226,557,3
Be Cool - Jeder ist auf der Suche nach dem nächsten großen Hit (2005),5.6,52932,7080,1,10,299,318,2
Kinder des Olymp (1945),8.3,11944,11400,1,0,84,87,2
Lieber Frankie (2004),7.9,16504,6300,8,5,20,176,2
Ein Duke kommt selten allein (2005),5,57113,6240,2,9,267,611,3
The Visual Bible: The Gospel of John (2003),7.6,1760,7500,1,3,3,72,3
Hum Tum - Ich & du\,http://www.imdb.com/title/tt0378072/,7.2,7190,video.movie,13,2,210,41
Machuca\,http://www.imdb.com/title/tt0378284/,7.9,7617,video.movie,10,0,6,44
Michael Blanco (2004),7.1,78,4800,0,0,0,2,2
Melinda und Melinda (2004),6.5,23200,5940,0,0,76,172,3
Los Angeles Plays Itself (2003),7.9,707,10140,2,0,0,26,2
Das Haus in der 92. Straße (1945),6.8,1770,5280,1,0,0,52,3
Once Upon a Time: Sergio Leone (Video 2001),6.1,142,3600,0,0,0,2,2
Capote (2005),7.4,77077,6840,57,46,1015,396,3
Charlie: The Life and Art of Charles Chaplin (2003),8,1095,7920,0,0,0,4,2
Serenity - Flucht in neue Welten (2005),8,198585,7140,8,5,1306,1561,3
Ein verlockendes Spiel (2008),6.1,24771,6840,0,0,241,119,3
Der Kaufmann von Venedig (2004),7.1,25417,8280,2,5,206,156,2
Goal! - Lebe deinen Traum (2005),6.8,40666,7080,1,6,8,108,3
Intimate Portrait Diane Keaton (TV Episode 2001),7.3,18,3600,0,0,0,0,2
In meinem Himmel (2009),6.7,100176,8100,8,22,2520,560,2
Mulgogijari (2000),6.5,133,5880,0,0,0,2,1
James Bond 007 - Casino Royale (2006),8,344652,8640,17,29,3923,2245,3
Tropical Malady - Liebe kennt nur den Moment... (2004),7.2,2674,7080,5,3,6,26,3
The 76th Annual Academy Awards (2004),6.1,978,13500,1,10,5,16,1
Coco - Der neugierige Affe (2006),6.6,10987,5160,0,0,152,116,3
Hide and Seek - Du kannst dich nicht verstecken (2005),5.9,59959,6060,1,4,162,439,3
The Spooky House (2003),6.7,24,420,0,0,0,2,3
Yuva (2004),7.5,3630,9660,12,14,0,35,3
The Da Vinci Code - Sakrileg (2006),6.5,238491,8940,1,16,1435,1941,2
Der rosarote Panther (2006),5.5,53112,5580,1,3,228,418,3
Grand Theft Auto: San Andreas (Video Game 2004),9.5,17998,,3,2,2,76,3
Sex at 24 Frames Per Second (Video 2003),6.2,329,6060,0,0,0,3,1
I Love the '80s Strikes Back (TV Series 2003– ),8.4,613,3600,0,0,0,14,2
Silent Hill (2006),6.6,134656,7500,0,0,1953,1706,2
The Weather Man (2005),6.7,61111,6120,0,0,156,309,2
Rom (TV Series 2005–2007),9,78560,5400,14,26,46,175,3
Solange ein Herz schlägt (1945),8,12812,6660,3,5,220,244,3
(Ohne Titel) (2003),6.3,6,180,0,0,0,0,1
S.H.I.T. - Die Highschool GmbH (2006),6.5,87846,5580,0,0,220,201,1
Amityville Horror - Eine wahre Geschichte (2005),5.9,63063,5400,2,4,842,509,3
The Dying Gaul (2005),6.6,2041,6060,1,1,16,57,1
Green Street Hooligans (2005),7.6,92562,6540,3,0,153,367,3
Picture Again (2003),5.2,9,1980,0,0,0,0,1
Eretz Nehederet (TV Series 2003– ),7.9,163,,5,2,0,3,2
Chuet chung tit gam gong (2003),5,107,6720,0,0,0,1,1
Der Held von Burma (1945),7.4,2918,8520,0,0,4,60,3
Der goldene Kompass (2007),6.1,123591,6780,3,26,766,652,3
My Big Fat Independent Movie (2005),3.3,1250,4800,2,0,9,24,1
Wo die wilden Kerle wohnen (2009),6.8,74211,6060,5,25,2094,374,3
The Work of Director Spike Jonze (Video 2003),8.1,833,12000,0,0,0,6,1
Die Legende des Zorro (2005),5.9,54076,7740,1,3,168,239,3
Drawn Together (TV Series 2004–2008),7,13173,1320,1,0,57,66,2
The Formula (Video 2002),7.8,77,3180,0,0,0,4,3
Manhunt (Video Game 2003),8.3,1146,,0,0,0,20,3
Frühling des Lebens (1945),7.6,1030,6300,0,0,0,33,2
The Making of 'Alien³' (Video 2003),7.6,214,9660,0,0,0,2,1
Couchgeflüster - Die erste therapeutische Liebeskomödie (2005),6.3,29940,6300,0,0,558,192,3
Black Dahlia (2006),5.6,56169,7260,2,7,350,633,3
Caché (2005),7.3,42961,7020,23,23,119,339,3
Verrückte Weihnachten (2004),5.1,20373,5940,2,1,61,188,2
Transporter - The Mission (2005),6.3,115728,5220,0,0,170,331,3
The Right Way (2004),8.2,1036,4800,0,0,24,4,2
Something to Do with Death (Video 2003),6.8,101,1080,0,0,0,3,2
Black Book (2006),7.9,51494,8700,14,17,232,225,3
30 Days of Night (2007),6.6,114808,6780,0,0,23,510,2
Bee Movie - Das Honigkomplott (2007),6.2,81763,5460,0,12,183,200,3
Friday Night Lights - Touchdown am Freitag (2004),7.3,37007,7080,2,5,147,286,3
Der Fluch (2004),5.8,87573,5520,3,7,695,904,3
I Want Someone to Eat Cheese With (2006),6.3,2763,4800,0,0,8,28,2
So was wie Liebe (2005),6.6,48723,6420,1,3,52,156,3
The Century: America's Time (TV Mini-Series 1999),8.4,39,45000,0,0,0,2,1
'Sunset Blvd.': A Look Back (Video 2002),7,100,1500,0,0,0,3,2
Ishq Hai Tumse (2004),3.2,104,8880,0,0,0,3,1
Screen Snapshots Series 25\,http://www.imdb.com/title/tt0038059/,6.1,13,video.movie,0,0,0,0
Baywatch - Die Rettungsschwimmer von Malibu Lover's Cove (TV Episode 1993),6.9,27,2580,0,0,0,1,3
The Last Detective Tricia (TV Episode 2003),8,39,4260,0,0,0,1,3
Producers' Showcase The Letter (TV Episode 1956),5.7,6,5400,0,0,0,0,3
Tiny Toon Adventures A Cat's Eye View (TV Episode 1992),7.5,8,1320,0,0,0,0,3
Tiny Toon Adventures The Looney Beginning (TV Episode 1990),8,42,1320,0,0,0,0,3
The 61st Annual Golden Globe Awards (2004),5.1,277,,0,0,0,1,0
Eorin shinbu (2004),7.3,2423,6900,0,0,0,18,3
The Producers (2005),6.4,30665,8040,1,4,186,400,2
Eastwood... A Star (TV Movie 1992),6.6,42,960,0,0,0,1,2
Indiana Jones: Making the Trilogy (Video 2003),7.2,330,7620,0,0,0,4,1
The Second Uncanny Issue of X-Men! Making 'X2' (Video 2003),6.4,79,3540,0,0,0,1,1
CSI: NY (TV Series 2004–2013),7,28629,2580,9,18,2484,74,3
Chainsaw Redux: Making a Massacre (Video 2004),5.8,99,4560,0,0,0,1,1
Stimme aus dem Jenseits (1945),6.4,485,5220,0,0,2,22,3
The Secret of Moonacre (2008),6.1,5820,6180,0,0,11,26,3
Eine zauberhafte Nanny (2005),6.6,36864,5820,2,4,411,181,3
Blood and Chocolate (2007),5.4,13578,5880,0,0,57,183,3
Zum Glück geküsst (2006),5.3,35313,6180,0,0,206,147,3
Cookie Jar (2003),6,6,360,1,0,0,0,1
Raja Harishchandra (1913),6.7,150,2400,0,0,0,2,1
Der Adler (1925),7.8,958,4380,0,0,4,22,3
Schnellboote vor Bataan (1945),7.4,4689,8100,0,0,19,74,2
Entgleist (2005),6.6,55118,6480,0,0,173,371,2
Das Ende - Assault on Precinct 13 (2005),6.3,59203,6540,1,2,488,217,3
Brücke nach Terabithia (2007),7.2,85387,5760,6,2,197,498,3
Le conseguenze dell'amore (2004),7.7,6958,6000,10,15,6,35,3
D.O.A. - Dead or Alive (2006),4.8,34041,5220,0,0,51,174,2
Ivan Cooper Remembers (Video 2003),3.8,13,420,0,0,0,0,2
Anus Magillicutty (2003),2.6,3500,4200,0,0,0,27,2
Drei Caballeros (1944),6.6,6513,4260,0,0,40,33,3
The Ice Harvest (2005),6.3,18945,5520,1,1,35,155,3
Jagdfieber (2006),6.2,49481,4980,1,8,193,95,3
Appurushîdo (2004),7,13199,6060,0,0,73,58,3
Ein Königreich für ein Lama 2 - Kronks großes Abenteuer (Video 2005),5.9,4428,4320,0,0,0,28,3
Ein gutes Jahr (2006),6.9,56644,7020,0,0,139,173,3
Underworld: Evolution (2006),6.7,122890,6360,0,0,270,491,3
Die Männer\,http://www.imdb.com/title/tt0038182/,6.9,1837,video.movie,0,6,11,24
Enttarnt - Verrat auf höchster Ebene (2007),7.1,47536,6600,0,0,268,199,3
Beowulf & Grendel (2005),5.9,14515,6180,1,6,0,157,3
The Dark Hours (2005),6.1,4347,4800,18,1,10,53,2
The New World (2005),6.7,59741,8100,8,11,566,662,3
Tatort Abschaum (TV Episode 2004),7,106,5400,0,0,0,0,1
The Big White - Immer Ärger mit Raymond (2005),6.5,10716,6000,0,0,14,50,3
Casanova (2005),6.5,37223,6720,3,1,72,141,3
Last Days (2005),5.7,16368,5820,1,3,303,264,3
Eine für 4 (2005),6.6,36135,7140,1,14,230,218,2
Youth in Revolt (2009),6.5,54184,5400,1,0,932,102,3
10th Annual Screen Actors Guild Awards (2004),6.9,53,,0,0,0,0,0
Der Exorzismus von Emily Rose (2005),6.7,72324,7140,3,7,719,509,3
Hitman: Contracts (Video Game 2004),8.1,1322,,1,0,0,9,2
Kifferwahn (2005),7.2,5032,6720,3,7,16,73,2
Chaplin Today: The Gold Rush (TV Movie 2003),6.9,57,1620,0,0,0,3,2
Sugata Sanshiro Fortsetzung (1945),6.2,986,4980,0,0,0,10,2
Mehman-e maman (2004),7.2,1290,,1,0,0,3,2
A Scanner Darkly - Der dunkle Schirm (2006),7.1,74355,6000,3,7,272,286,3
Sky High - Diese Highschool hebt ab! (2005),6.2,48747,6000,0,0,170,209,3
Southland Tales (2006),5.5,29694,8700,0,0,389,230,3
Z-Channel - Die Geschichte eines Fernsehsenders (TV Movie 2004),7.6,998,7200,1,0,31,30,2
American Fame Pt. 1: Drowning River Phoenix (2004),5.2,49,660,0,0,0,4,3
Postales desde el mar (2003),,,600,1,0,0,0,2
13 Rue Madeleine (1947),7,1706,5700,0,0,0,34,3
Zathura - Ein Abenteuer im Weltraum (2005),6.1,49307,6060,2,3,220,196,3
Chaplin Today: City Lights (TV Movie 2003),7.1,64,1560,0,0,0,3,2
Masti (2004),6.1,2779,9960,2,2,0,20,1
Transamerica (2005),7.5,32368,6180,28,13,150,226,3
Krieg der Welten (2005),6.5,254882,6960,13,19,1314,2712,3
Disney's Animation Magic: Beauty and the Beast (Video 2002),8,20,840,0,0,0,0,2
Geomi sup (2004),6.8,1565,6720,0,0,0,17,3
Erbauer des Morgens (1946),7.1,91,4920,0,0,0,0,1
Mating Rituals 101 (2004),7,7,,0,0,0,1,2
München (2005),7.7,148550,9840,16,24,764,802,3
Firewall (2006),5.8,44775,6300,0,0,78,297,2
Akte X - Die unheimlichen Fälle des FBI The Truth: Parts 1 & 2 (TV Episode 2002),8.3,1460,5400,0,0,0,24,3
Doc Martin (TV Series 2004– ),8.3,4649,3000,1,10,133,37,2
Die fetten Jahre sind vorbei (2004),7.6,22722,7620,10,6,19,97,3
Flightplan - Ohne jede Spur (2005),6.2,103506,5880,1,3,402,587,3
Iki yavrucak (1966),5.5,10,,0,0,0,0,1
Poseidon (2006),5.6,70125,5640,0,5,233,612,3
L'Auberge espagnole - Wiedersehen in St. Petersburg (2005),7.1,13057,7740,1,3,75,47,3
In den Westen (TV Mini-Series 2005),8.1,4869,33120,9,25,118,76,3
Wächter des Tages (2006),6.6,26246,7920,5,8,132,122,3
Die Insel der Abenteuer (2008),6,23780,5760,0,0,79,106,3
Desperate Housewives (TV Series 2004–2012),7.5,74606,2700,49,127,7860,155,3
Lost (TV Series 2004–2010),8.6,271937,2520,61,263,14720,665,3
Hazaaron Khwaishein Aisi (2003),7.9,2989,7200,2,5,0,33,1
Broken Flowers (2005),7.2,67804,6360,4,11,210,509,3
Dr. House (TV Series 2004–2012),8.9,213724,2700,44,106,912,415,2
Samantha: An American Girl Holiday (TV Movie 2004),7.1,1014,5160,1,2,4,32,2
Le fantôme d'Henri Langlois (2004),7.6,328,12600,0,0,0,5,3
Half Light (2006),6,9779,6600,0,0,11,113,3
Lady Henderson präsentiert (2005),7.1,12043,6180,6,25,93,174,3
Evan Allmächtig (2007),5.4,95429,5760,2,10,269,241,3
Geisterkomödie (1945),7.1,2929,5760,0,1,64,47,2
Spider-Man 3 (2007),6.3,264158,8340,1,26,2300,1872,3
Schweinchen Wilbur und seine Freunde (2006),6.4,21650,5820,8,9,162,95,3
Elizabeth - Das goldene Königreich (2007),6.9,45482,6840,5,16,315,211,3
Day for Night: An Appreciation (Video 2003),5.9,18,1020,0,0,0,0,2
Der Mann aus London (2007),7.1,2022,8340,0,0,0,25,3
Ricky Bobby - König der Rennfahrer (2006),6.5,98290,6480,6,4,280,425,3
Beed-e majnoon (2005),7.5,2214,5760,1,0,0,12,1
Le fantôme du Moulin-Rouge (1925),6.6,66,5400,0,0,0,3,2
Die blaue Dahlie (1946),7.2,4061,5760,0,0,15,54,3
Match Point (2005),7.7,128918,7440,8,14,513,725,2
Los tres mosqueteros (TV Mini-Series 1971),7.8,8,,0,0,0,0,1
300 (2006),7.8,466561,7020,9,28,68,2020,3
Baramui Fighter (2004),7.1,2698,7200,0,0,0,26,3
Frau mit Hund sucht Mann mit Herz (2005),5.9,21725,5880,0,0,69,256,2
The Venture Bros. (TV Series 2003– ),8.6,14721,1320,0,0,245,41,3
Cluny Brown (1946),7.7,1443,6000,0,0,7,21,2
Rope (TV Movie 1939),,,5400,0,0,0,1,1
Jarhead - Willkommen im Dreck (2005),7.1,116866,7500,5,10,465,647,3
Mi nismo andjeli 2 (2005),5.7,1986,5340,0,0,0,13,1
Offscreen (2006),6.5,562,5580,4,6,0,4,3
Der Tiger und der Schnee (2005),7.2,9746,6840,4,7,14,40,3
Der schwarze Spiegel (1946),7.2,1814,5100,0,0,8,32,3
Pittsburgh (2006),6.4,451,5040,0,0,29,9,1
Doch wenn es Abend wird (2003),7.4,8,960,0,0,0,0,1
Doom - Der Film (2005),5.2,74443,6000,0,0,274,791,3
Find Me Guilty - Der Mafiaprozess (2006),7.1,23519,7500,0,0,79,103,3
Ancient Evil 2: Guardian of the Underworld (Video 2005),2.7,155,5700,0,0,0,15,3
At the Movies (TV Series 2004– ),8.2,97,1800,0,0,0,1,1
From Hong Kong to Hollywood: The Making of John Woo (TV Movie 2004),4.4,24,1440,0,0,0,0,1
Shijie (2004),7.1,1970,8580,5,5,0,30,1
Becoming Attractions: The Trailers of Humphrey Bogart (TV Movie 1997),6.4,72,2700,0,0,0,3,1
Bin-jip (2004),8.1,31195,5280,12,7,7,119,3
Charlie Bartlett (2007),7,47906,5820,1,0,132,117,3
Flutsch und weg (2006),6.7,64778,5100,6,11,385,117,3
Hard Candy (2005),7.2,109409,6240,9,9,8,611,1
Lila dit ça (2004),7.1,3289,5340,4,4,0,20,3
The Mostly Unfabulous Social Life of Ethan Green (2005),6.2,1569,5280,0,0,5,24,2
Clerks II (2006),7.5,99088,5820,2,1,213,463,1
Die Killer (1946),7.9,10243,6180,3,0,41,91,3
Quase Dois Irmãos (2004),6.9,472,6120,12,8,0,6,1
Shah-re ziba (2004),7.9,2429,6060,5,0,0,5,1
Candy - Reise der Engel (2006),7.3,29296,6960,6,16,105,75,2
Klang der Stille (2006),6.8,9451,6240,2,5,19,82,3
Dances with Wolves: The Creation of an Epic (Video 2003),7.2,89,4860,0,0,0,0,1
Friendly Fire: Making an Urban Legend (Video 2003),6.8,24,2580,0,0,0,0,2
Get Smart (2008),6.6,140323,6600,2,6,1608,373,3
Hot Fuzz - Zwei abgewichste Profis (2007),7.9,266190,7260,2,4,2682,643,1
Irrtum im Jenseits (1946),8.1,10950,6240,3,0,2,126,3
The Making of 'Runaway Jury' (Video 2004),6.1,34,720,0,0,0,1,2
Pusher 3 (2005),7.3,6395,5400,0,0,11,24,3
Johnny Was (2006),5.7,1452,5580,1,0,0,39,3
Alpha Dog - Tödliche Freundschaft (2006),6.9,76872,7080,2,2,418,262,3
Carlito's Way: Rise to Power (Video 2005),4.9,3432,6000,0,0,10,56,3
Erkan & Stefan in Der Tod kommt krass (2005),4.1,598,5820,0,0,0,1,1
Invasion (2007),5.9,57199,5940,0,0,202,258,2
Mezzo Forte (Video 1998),6.9,666,4800,0,0,0,4,3
Splinter Cell: Chaos Theory (Video Game 2005),8.5,1563,,1,1,0,10,2
Revenge of the Warrior (2005),7.1,24755,5400,0,0,147,210,3
The Cutting Edge: The Magic of Movie Editing (2004),7.8,1441,5880,0,0,0,10,1
Die sieben Schwerter (2005),6.2,7233,9180,3,18,11,96,3
The 62nd Annual Golden Globe Awards (2005),4.5,344,,0,0,0,0,1
The 77th Annual Academy Awards (2005),5.9,885,11640,1,3,0,12,1
Nocturne (1946),6.7,583,5220,0,0,0,29,3
Das A-Team - Der Film (2010),6.8,168808,7020,1,1,2173,349,3
Aquamarin - Die vernixte erste Liebe (2006),5.2,22360,6240,1,5,117,149,3
Vier Brüder (2005),6.9,85602,6540,6,7,274,331,3
Herr der Diebe (2006),6,4404,5880,0,0,5,40,3
Ti piace Hitchcock? (TV Movie 2005),5.8,1819,5580,0,0,0,38,2
Steve McQueen - Leidenschaftlich cool (TV Movie 2005),7.4,235,5220,0,0,0,7,1
P.S. Ich Liebe Dich (2007),7,123082,7560,2,4,384,239,2
Resident Evil: Extinction (2007),6.3,122157,5640,1,1,501,334,3
Venice Report (TV Movie 1997),7.3,32,1680,0,0,0,0,2
Saw 2 (2005),6.6,149829,5580,2,7,514,848,1
Hitchcock and Dial M (Video 2004),6.4,69,1320,0,0,0,1,2
Quo Vadis\,http://www.imdb.com/title/tt0433028/,6.2,730,video.movie,3,2,5,8
Revealed: The Making of 'La Femme Nikita' (Video 2003),6.9,15,1260,0,0,0,0,2
The Namesake - Zwei Welten\,http://www.imdb.com/title/tt0433416/,7.6,14516,video.movie,2,44,168,110
Paisà (1946),7.8,3471,7500,10,1,36,31,1
Keroro gunsô (TV Series 2004– ),7.9,293,1500,0,0,6,8,3
Behind the Scenes of 'House of Sand and Fog' (Video 2004),5.4,63,960,0,0,0,1,2
Se devo essere sincera (2004),6.1,131,6420,0,0,0,1,2
#1 Fan: A Darkomentary (Video 2005),7.6,160,780,0,0,0,1,2
Ma vie en l'air (2005),7,1529,6180,0,0,247,1,2
Murderball (2005),7.8,8168,5280,17,7,135,68,2
Doctor Who (TV Series 2005– ),8.9,99875,4260,93,115,10215,280,3
Peter and the Wolf (1946),7.9,1693,900,0,0,23,13,3
Die Bankdrücker (2006),5.6,32999,4800,0,0,81,201,2
Peaceful Warrior (2006),7.3,15369,7200,0,0,22,163,3
Goodbye Bafana (2007),7.1,8553,7080,2,1,29,21,3
Weeds - Kleine Deals unter Nachbarn (TV Series 2005–2012),8.2,69555,1800,12,68,2211,125,3
The Burly Man Chronicles (Video 2004),7.1,94,5700,0,0,0,2,1
Cheng chong chui lui chai 2004 (2004),5.6,105,5700,0,0,0,1,2
Hu die (2004),7.2,659,7440,1,6,0,11,1
Dhoom:2 (2006),6.1,9930,9120,3,14,24,142,2
Riisuttu mies (2006),5.6,652,7140,2,1,0,3,2
Jimmy Whispers Returns to Mulberry Street (Video 2004),4.2,10,5400,0,0,0,2,1
8 Blickwinkel (2008),6.6,111495,5400,2,2,618,410,3
Breaking & Entering - Einbruch und Diebstahl (2006),6.6,18044,7200,0,0,51,88,2
Die Todeskandidaten (2007),6.1,39321,6840,0,0,70,138,2
Film Geek (2005),6.2,948,4680,0,0,14,21,1
The American Experience Mary Pickford (TV Episode 2005),7.2,61,5400,0,0,0,6,2
The Sentinel - Wem kannst du trauen? (2006),6.1,38305,6480,0,0,63,211,3
10\,http://www.imdb.com/title/tt0443649/,5,90965,video.movie,0,60,3,540
Akte X - Jenseits der Wahrheit (2008),5.9,65144,6240,0,0,186,477,3
Zodiac - Die Spur des Killers (2007),7.7,206885,9420,0,0,1356,546,3
Page 3 (2005),7.4,3728,8340,4,10,279,28,1
L'emprise du carnavalesque (Video 2004),,,1260,0,0,0,0,2
Shock (1946),6.3,1211,4200,0,0,9,47,2
Paradise Now (2005),7.5,16668,5400,14,10,136,146,3
Watching the Alien (Video 2003),6,8,1500,0,0,0,1,2
Neues vom Wixxer (2007),6.2,2191,5880,0,0,2,6,2
Pathfinder - Fährte des Kriegers (2007),5.4,32301,5940,0,0,238,207,3
Isolation (2005),5.7,4541,5700,9,2,12,57,3
Onkel Remus' Wunderland (1946),7.5,7342,5640,1,1,56,232,3
The Hundred Days (Video 2004),7.6,24,4140,0,0,0,0,1
Know1ng - Die Zukunft endet jetzt (2009),6.2,154064,7260,1,3,851,769,3
Hancock (2008),6.5,233225,5520,4,9,1303,577,2
Der gestiefelte Kater (2011),6.7,86655,5400,4,28,1673,131,3
100 Greatest Cartoons (2005),6.5,108,14700,0,0,0,2,3
Angel (TV Movie 2005),5.1,210,5220,0,0,0,9,1
Little Miss Sunshine (2006),7.9,279289,6060,54,55,2451,864,3
Dominion: Exorzist - Der Anfang des Bösen (2005),5.4,6630,7020,0,0,19,127,3
The Strange Love of Martha Ivers (1946),7.5,4420,6960,0,0,18,73,2
The 2004 IFP/West Independent Spirit Awards (TV Movie 2004),2.2,190,,0,0,0,0,1
Passengers (2008),5.8,22580,5580,0,0,89,121,3
Zimmer 1408 (2007),6.8,169276,6240,3,4,25,551,2
Gopala Rao Gari Ammayi (1980),8.3,26,7800,0,0,0,0,1
Der Fremde (1946),7.5,10846,5700,0,0,35,133,3
50 Cent: Bulletproof (Video Game 2005),3.4,389,,0,0,0,7,3
No Entry (2005),6.7,4435,9480,0,0,0,24,3
Der Glücksbringer (2007),5.6,64282,5760,0,0,167,148,3
Santa Clause 3 - Eine frostige Bescherung (2006),4.5,14931,5820,1,6,47,104,3
Motel (2007),6.2,67395,5100,0,0,205,292,2
Naboer (2005),6.6,6134,4500,1,0,8,40,3
Sinbad: Legend of the Seven Seas (Video Game 2003),5.4,10,,0,0,0,0,3
Mr. Bean macht Ferien (2007),6.2,67848,5400,0,0,52,230,2
Garam Masala (2005),6.4,3801,8760,1,2,0,33,1
Amazing Grace (2006),7.5,17516,7020,1,5,63,147,3
Bubble (2005),6.6,6262,4380,0,0,86,106,3
Flyboys - Helden der Lüfte (2006),6.6,30273,8400,2,3,70,236,3
The Hills Have Eyes - Hügel der blutigen Augen (2006),6.4,101643,6420,2,6,1133,842,2
Der unbekannte Geliebte (1946),6.6,1641,6960,0,0,2,53,3
Infernal affairs 1: Origines d'une saga (Video 2004),8.2,40,900,0,0,0,1,2
Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),7,11384,5160,0,0,8,71,3
The Crazies - Fürchte deinen Nächsten (2010),6.6,75953,6060,0,0,2,240,3
Garfield 2 - Faulheit verpflichtet (2006),5,19777,4680,0,0,51,67,2
Der letzte König von Schottland - In den Fängen der Macht (2006),7.8,118219,7260,37,24,1058,331,3
Medianeras (2005),7.6,161,1680,7,1,0,2,1
Gier nach Geld (1924),7.8,6005,8400,1,0,36,70,1
The Verdict (1946),7.2,962,5160,0,0,0,36,3
Australia (2008),6.6,86496,9900,10,27,49,435,3
Der Tod des Herrn Lazarescu (2005),7.9,8634,9000,28,6,80,73,1
Salaam Namaste (2005),6.3,3888,9480,1,7,0,54,3
Chaotisch Ana (2007),6.4,3112,7080,0,0,9,15,3
Christine: Finish Line (Video 2004),5.4,15,420,0,0,0,1,2
Grandma's Boy (2006),7.1,57932,5640,0,0,42,190,1
Strength and Honor: Creating the World of 'Gladiator' (Video 2005),7.3,79,11820,0,0,0,0,1
Die Wildnis ruft (1946),7.4,3625,8100,1,5,9,68,2
Altered (2006),5.7,7689,5280,0,0,56,117,3
Midnight Movies: From the Margin to the Mainstream (2005),7.4,998,5280,0,0,0,14,1
Mr. Magoriums Wunderladen (2007),6.2,28993,5580,0,0,62,125,3
Scoop - Der Knüller (2006),6.8,53034,5760,0,0,245,236,2
49º premis Sant Jordi de cinematografía (2005),1.6,12,,0,0,0,0,0
Liebe braucht keine Ferien (2006),6.9,138351,8280,1,5,195,465,2
South Park The Passion of the Jew (TV Episode 2004),8.5,1161,1380,0,0,0,5,2
So einfach ist die Liebe nicht (1947),7.3,4763,5700,0,0,11,52,2
Der Teufel trägt Prada (2006),6.8,202973,6540,14,28,2445,605,3
Dorm Daze 2 (Video 2006),4,3896,6000,0,0,2,14,1
Die Päpstin (2009),6.7,5199,8940,2,6,59,17,2
She Loves Me (TV Movie 1978),8.5,68,6300,0,0,0,3,1
Crossing the Bridge: The Sound of Istanbul (2005),7.8,4164,5400,1,2,0,26,2
Gandhi\,http://www.imdb.com/title/tt0459293/,7.4,1106,video.movie,2,0,0,22
Tetsuko no heya 30nen special (2005),,,6000,0,0,0,0,1
